modelo,accuracy,precision,recall,f1,roc_auc,tiempo_entrenamiento_s,tiempo_inferencia_s,ram_pico_mb,gpu_mem_pico_mb,gpu_util_promedio_pct
Random Forest,0.948931804285073,0.754905742515333,0.8586036269890099,0.8034224291583848,0.9804617791354451,113.30608054199547,3.895444094989216,19019.870208,4984.0,59.0
XGBoost,0.9410590441772453,0.6779892893394419,0.9809907418917126,0.801819435343236,0.9834009836608735,42.87142811600643,0.4528813190117944,26008.61696,10102.0,96.5421686746988
Red Neuronal,0.950703581592916,0.7460248285546537,0.9012329172076718,0.8163168566392313,0.9823604836893435,74.48890736000612,1.7598244449909544,27854.217216,7302.0,37.935251798561154
