modelo,speedup,tiempo_cpu_s,tiempo_gpu_s
Random Forest,6.390628794337386,685.6820327370006,107.29492430299979
XGBoost,9.625980399317095,74.33402713000032,7.7222292219994415
Red Neuronal,3.8770431832507577,15.306138994999856,3.9478897374999633
