delta_t,brightness,bright_t31,frp,scan,track,mes,hora,es_noche,latitude,longitude,es_falsa_alarma
43.26999999999998,353.62,310.35,129.74,0.52,0.5,6,11,0,36.30349,36.1474,0
52.80000000000001,353.24,300.44,11.98,0.42,0.61,6,12,0,-8.64905,23.21799,0
16.319999999999993,302.49,286.17,4.15,0.76,0.77,6,22,1,-16.12146,33.75974,0
29.74000000000001,332.05,302.31,24.57,0.55,0.43,6,12,0,-8.1637,17.69486,1
16.639999999999986,312.38,295.74,3.91,0.44,0.46,6,21,1,25.88253,51.53674,0
44.620000000000005,346.79,302.17,21.5,0.58,0.69,6,11,0,-11.50071,14.66669,0
45.589999999999975,344.13,298.54,7.06,0.54,0.42,6,18,0,20.82411,-77.53471,0
32.81999999999999,337.86,305.04,4.63,0.39,0.36,6,11,0,-6.06106,24.76452,0
29.260000000000048,341.91,312.65,5.63,0.4,0.37,6,8,0,40.89932,72.27441,0
38.910000000000025,339.18,300.27,3.92,0.42,0.61,6,11,0,-17.67881,45.20066,0
31.75,336.0,304.25,2.87,0.41,0.37,6,12,0,-14.58828,16.63036,0
16.519999999999982,297.9,281.38,0.9,0.68,0.74,6,8,1,59.67715,-124.0815,0
17.120000000000005,305.18,288.06,0.61,0.39,0.36,6,16,1,-15.89674,135.86554,0
29.379999999999995,312.7,283.32,5.97,0.42,0.38,6,10,1,59.73366,-121.76484,0
18.099999999999966,308.78,290.68,3.34,0.44,0.63,6,15,1,35.0294,136.88458,0
32.5,333.81,301.31,11.98,0.65,0.73,6,10,0,-8.04373,25.90254,0
35.81,339.3,303.49,4.36,0.39,0.36,6,18,0,34.626,-78.9775,0
33.56,331.19,297.63,2.8,0.39,0.59,6,4,0,-13.53337,131.66489,0
51.0,351.98,300.98,37.97,0.63,0.72,6,10,0,-6.58897,25.74487,0
46.099999999999966,340.89,294.79,5.56,0.33,0.55,6,4,0,-11.20317,132.2933,0
32.10999999999996,328.09,295.98,1.33,0.4,0.37,6,0,1,29.03788,20.78629,0
47.629999999999995,349.93,302.3,8.49,0.63,0.54,6,10,0,-17.12558,44.97984,0
28.909999999999968,329.83,300.92,3.91,0.32,0.55,6,11,0,-8.01472,17.56649,0
52.93000000000001,354.77,301.84,12.82,0.42,0.45,6,12,0,-7.19171,18.45271,0
55.99000000000001,350.6,294.61,26.38,0.63,0.72,6,11,0,-8.05828,19.70218,0
34.25,341.98,307.73,7.33,0.52,0.5,6,12,0,-12.86683,21.30877,0
40.78000000000003,342.24,301.46,5.7,0.4,0.44,6,11,0,-6.35969,26.77122,0
31.53000000000003,330.79,299.26,2.73,0.38,0.36,6,11,0,-6.08555,32.16201,0
33.14000000000004,327.48,294.34,2.69,0.5,0.66,6,13,0,-5.12414,17.41167,0
44.98000000000002,343.43,298.45,7.79,0.42,0.61,6,12,0,-7.05816,22.87256,0
26.05000000000001,313.11,287.06,1.8,0.48,0.65,6,10,1,37.36455,-113.42628,0
41.64999999999998,323.65,282.0,2.81,0.38,0.36,6,5,1,46.47655,-48.476,0
41.06999999999999,325.19,284.12,2.35,0.52,0.5,6,8,1,55.65814,-106.80555,0
36.05000000000001,335.6,299.55,3.58,0.43,0.38,6,11,0,-4.25408,28.95733,0
41.43000000000001,346.0,304.57,15.69,0.45,0.47,6,11,0,-10.72504,26.83475,0
36.55000000000001,326.66,290.11,4.21,0.39,0.36,6,10,1,59.84031,-121.82545,0
48.329999999999984,352.74,304.41,2.89,0.33,0.55,6,11,0,-9.52745,17.83877,0
45.30000000000001,352.89,307.59,68.56,0.61,0.53,6,13,0,-8.50371,15.03074,0
28.639999999999986,337.18,308.54,7.86,0.39,0.36,6,11,0,-6.80649,25.03837,1
56.00999999999999,356.74,300.73,17.02,0.36,0.57,6,11,0,-15.2613,24.74059,0
30.00999999999999,329.52,299.51,2.66,0.4,0.37,6,11,0,-12.44711,28.36827,0
25.66999999999996,330.02,304.35,6.95,0.56,0.52,6,5,0,-18.53353,124.8853,1
32.25999999999999,333.88,301.62,2.66,0.41,0.37,6,4,0,-11.56192,132.82103,0
16.360000000000014,295.32,278.96,1.07,0.4,0.6,6,22,1,-1.41104,29.2175,0
40.839999999999975,332.88,292.04,7.16,0.56,0.69,6,20,0,31.10181,-96.68484,0
33.86999999999995,337.28,303.41,4.4,0.41,0.37,6,11,0,-6.05309,23.79977,0
24.02000000000004,310.72,286.7,1.15,0.39,0.36,6,21,1,60.18111,69.29594,0
32.31,322.99,290.68,2.1,0.4,0.44,6,16,1,-11.55853,130.42989,0
36.829999999999984,327.37,290.54,2.1,0.42,0.38,6,10,1,56.6388,-115.08549,0
46.49000000000001,343.52,297.03,11.25,0.47,0.48,6,3,0,-6.20691,146.15726,0
44.75,349.92,305.17,3.76,0.39,0.44,6,11,0,-7.19812,27.12943,0
18.00999999999999,297.84,279.83,0.91,0.44,0.38,6,10,1,60.32347,-122.47547,0
35.75999999999999,339.15,303.39,5.97,0.54,0.51,6,12,0,-12.66208,21.44439,0
32.0,339.14,307.14,3.89,0.4,0.44,6,11,0,-7.02018,30.87599,0
27.08000000000004,330.17,303.09,2.16,0.44,0.38,6,11,0,-14.59756,31.03246,1
42.870000000000005,329.81,286.94,6.05,0.57,0.69,6,3,0,-14.39824,142.11644,0
32.620000000000005,336.44,303.82,6.5,0.48,0.4,6,11,0,-16.71313,24.36293,0
31.79000000000002,318.23,286.44,11.01,0.55,0.43,6,9,1,59.36532,-120.45308,0
14.400000000000034,307.18,292.78,2.17,0.5,0.41,6,17,1,31.90059,118.60349,0
57.53000000000003,351.37,293.84,7.42,0.38,0.59,6,11,0,59.82705,-121.86803,0
17.460000000000036,304.3,286.84,2.45,0.42,0.61,6,0,1,-8.32709,23.57185,0
45.5,340.08,294.58,3.67,0.56,0.69,6,23,1,35.72338,44.03999,0
41.79000000000002,337.48,295.69,11.5,0.41,0.45,6,1,1,45.14722,9.93979,0
42.03000000000003,345.24,303.21,13.16,0.55,0.43,6,11,0,-8.60841,27.77701,0
43.75,327.58,283.83,5.41,0.41,0.37,6,18,1,62.44455,113.66319,0
28.80000000000001,335.14,306.34,2.97,0.39,0.36,6,11,0,51.66487,14.63604,1
61.50999999999999,352.92,291.41,5.62,0.42,0.61,6,18,0,8.72658,-62.90697,0
28.180000000000007,310.58,282.4,1.85,0.54,0.68,6,20,1,58.96307,73.95855,0
40.14999999999998,348.14,307.99,6.32,0.39,0.36,6,11,0,-8.85178,26.47029,0
49.15999999999997,352.39,303.23,11.95,0.54,0.5,6,13,0,-10.65432,14.74761,0
47.339999999999975,353.46,306.12,11.98,0.38,0.36,6,11,0,-10.56196,26.46621,0
17.089999999999975,303.33,286.24,1.18,0.39,0.36,6,16,1,-17.80727,137.55278,0
39.44999999999999,339.4,299.95,4.85,0.39,0.36,6,11,0,-12.04532,27.52547,0
29.28000000000003,337.23,307.95,1.31,0.39,0.36,6,16,0,-6.88845,-43.72517,1
16.670000000000016,307.0,290.33,0.97,0.41,0.37,6,23,1,-6.77621,26.63591,0
32.210000000000036,335.05,302.84,3.1,0.46,0.39,6,11,0,-7.43878,29.00746,0
31.850000000000023,334.72,302.87,8.4,0.54,0.51,6,11,0,-7.53341,18.63413,0
29.920000000000016,324.87,294.95,2.2,0.41,0.37,6,23,1,31.00867,29.83231,0
32.170000000000016,336.45,304.28,4.78,0.46,0.39,6,12,0,-12.37473,17.25337,0
25.529999999999973,329.78,304.25,12.21,0.45,0.47,6,11,0,-10.75172,26.80671,1
29.49000000000001,319.66,290.17,4.05,0.59,0.7,6,23,1,33.99615,49.46861,0
33.579999999999984,355.83,322.25,8.49,0.41,0.37,6,11,0,24.6103,32.78512,1
39.81,347.11,307.3,9.93,0.39,0.36,6,11,0,-5.38955,26.01368,0
28.399999999999977,314.27,285.87,2.38,0.52,0.67,6,4,1,9.64123,-63.56468,0
29.910000000000025,314.12,284.21,0.61,0.32,0.55,6,0,1,-8.4738,21.80763,0
46.19,340.77,294.58,3.27,0.35,0.57,6,10,0,-9.74339,30.01521,0
43.31999999999999,342.74,299.42,5.7,0.45,0.39,6,11,0,-9.56326,29.07021,0
61.94,367.0,305.06,30.75,0.45,0.47,6,12,0,-9.19133,19.36865,0
36.81,340.04,303.23,14.77,0.38,0.36,6,11,0,-10.84403,32.77494,0
36.19,334.59,298.4,9.15,0.56,0.69,6,13,0,-16.97769,21.47584,0
37.03000000000003,338.35,301.32,5.86,0.43,0.62,6,13,0,-7.09181,16.97404,0
16.20999999999998,301.08,284.87,0.6,0.36,0.57,6,8,1,29.75338,-93.87952,0
14.989999999999952,307.59,292.6,1.06,0.42,0.38,6,23,1,-8.96517,26.63962,0
33.839999999999975,342.06,308.22,8.51,0.56,0.69,6,11,0,35.68115,36.02601,0
30.41999999999996,330.34,299.92,2.48,0.43,0.38,6,11,0,-11.7582,29.224,0
44.27999999999997,345.03,300.75,3.21,0.42,0.61,6,10,0,-5.86594,28.14701,0
30.810000000000002,335.86,305.05,5.0,0.4,0.44,6,11,0,-7.24773,26.98347,0
65.36000000000001,367.0,301.64,5.99,0.45,0.63,6,11,0,-16.4969,23.50209,0
32.349999999999966,328.08,295.73,3.7,0.43,0.62,6,12,0,-6.1239,22.7475,0
32.910000000000025,334.36,301.45,3.91,0.57,0.52,6,13,0,-13.01514,15.80142,0
16.04000000000002,314.38,298.34,12.44,0.58,0.7,6,23,1,30.86267,47.93207,0
10.979999999999961,302.58,291.6,0.93,0.36,0.57,6,7,1,44.76238,-93.04182,0
26.680000000000007,327.58,300.9,2.76,0.33,0.55,6,11,0,-10.32887,24.32837,1
39.40999999999997,348.03,308.62,4.85,0.4,0.37,6,12,0,-10.76421,15.20354,0
41.25999999999999,339.83,298.57,14.13,0.63,0.72,6,13,0,-12.40978,20.92459,0
45.56,347.95,302.39,8.02,0.4,0.37,6,11,0,-4.7709,26.55258,0
42.25,344.82,302.57,7.21,0.44,0.46,6,11,0,-15.95718,21.66954,0
20.69999999999999,302.06,281.36,1.36,0.56,0.52,6,0,1,-9.04272,26.99783,0
37.83000000000004,345.61,307.78,20.11,0.44,0.38,6,12,0,-8.47254,15.8528,0
45.48000000000002,342.55,297.07,6.7,0.57,0.69,6,11,0,-12.68637,21.23535,0
10.769999999999982,303.59,292.82,0.67,0.4,0.37,6,1,1,47.03319,7.02957,0
39.73000000000002,332.16,292.43,4.09,0.43,0.46,6,11,0,-25.3452,30.14375,0
36.47999999999996,332.7,296.22,1.68,0.38,0.36,6,11,0,-7.02741,32.00963,0
29.629999999999995,330.73,301.1,8.55,0.62,0.71,6,12,0,-8.56233,25.71821,1
57.54000000000002,354.31,296.77,12.94,0.69,0.74,6,10,0,-10.33091,25.96778,0
47.610000000000014,353.44,305.83,27.11,0.56,0.43,6,12,0,-9.39416,18.14519,0
39.95999999999998,345.39,305.43,13.96,0.61,0.54,6,13,0,-10.62351,15.62968,0
79.0,367.0,288.0,24.64,0.61,0.71,6,22,1,46.42641,34.07225,0
56.85999999999996,355.53,298.67,14.54,0.45,0.63,6,10,0,-8.31801,28.24172,0
34.610000000000014,332.45,297.84,13.34,0.39,0.36,6,4,0,-11.7989,133.71782,0
32.39999999999998,331.27,298.87,3.13,0.44,0.62,6,11,0,-11.82773,22.72636,0
